IČO;Název;Okres
00262871;Město Chrastava;Liberec
00287245;Město Chropyně;Kroměříž
00270211;Město Chrudim;Chrudim
00261378;Město Chřibská;Děčín
00273660;Město Chvaletice;Pardubice
00241296;Město Chýně;Praha - západ
00252387;Město Chýnov;Tábor
00254614;Město Chyše;Karlovy Vary
00281859;Město Ivančice;Brno - venkov
00291846;Město Ivanovice na Hané;Vyškov
00275778;Město Jablonec nad Jizerou;Semily
00278963;Město Jablonné nad Orlicí;Ústí nad Orlicí
00260576;Město Jablonné v Podještědí;Liberec
00296759;Město Jablunkov;Frýdek - Místek
00254622;Město Jáchymov;Karlovy Vary
00296066;Město Janov;Bruntál
00255611;Město Janovice nad Úhlavou;Klatovy
00277967;Město Janské Lázně;Trutnov
00272728;Město Jaroměř;Náchod
00289507;Město Jaroměřice nad Rokytnou;Třebíč
00302708;Město Javorník;Jeseník
00289531;Město Jemnice;Třebíč
00243825;Město Jesenice;Rakovník
00241318;Město Jesenice;Praha - západ
00302724;Město Jeseník;Jeseník
00276791;Město Jevíčko;Svitavy
00292923;Město Jevišovice;Znojmo
00271632;Město Jičín;Jičín
00275808;Město Jilemnice;Semily
00261408;Město Jílové;Děčín
00241326;Město Jílové u Prahy;Praha - západ
00246875;Město Jindřichův Hradec;Jindřichův Hradec
00261904;Město Jirkov;Chomutov
00261424;Město Jiříkov;Děčín
00252425;Město Jistebnice;Tábor
00261912;Město Kadaň;Chomutov
00248380;Město Kamenice nad Lipou;Pelhřimov
00260622;Město Kamenický Šenov;Česká Lípa
00245941;Město Kaplice;Český Krumlov
00246905;Město Kardašova Řečice;Jindřichův Hradec
00303909;Město Karolinka;Vsetín
00256731;Město Kasejovice;Plzeň - jih
00255645;Město Kašperské Hory;Klatovy
00257893;Město Kaznějov;Plzeň - sever
00253464;Město Kdyně;Domažlice
00303925;Město Kelč;Vsetín
00259888;Město Kladruby;Tachov
00261939;Město Klášterec nad Ohří;Chomutov
00255661;Město Klatovy;Klatovy
00240290;Město Klecany;Praha - východ
00298051;Město Klimkovice;Ostrava - město
00283258;Město Klobouky u Brna;Břeclav
00301370;Město Kojetín;Přerov
00235440;Město Kolín;Kolín
00288365;Město Konice;Prostějov
00271705;Město Kopidlno;Jičín
00298077;Město Kopřivnice;Nový Jičín
00287334;Město Koryčany;Kroměříž
00508870;Město Kosmonosy;Mladá Boleslav
00235474;Město Kostelec nad Černými lesy;Praha - východ
00236951;Město Kostelec nad Labem;Mělník
00274968;Město Kostelec nad Orlicí;Rychnov nad Kněžnou
00288373;Město Kostelec na Hané;Prostějov
00266400;Město Košťany;Teplice
00235482;Město Kouřim;Kolín
00257958;Město Kožlany;Plzeň - sever
00279072;Město Králíky;Ústí nad Orlicí
00257966;Město Kralovice;Plzeň - sever
00236977;Město Kralupy nad Vltavou;Mělník
00509701;Město Králův Dvůr;Beroun
00259438;Město Kraslice;Sokolov
00242535;Město Krásná Hora nad Vltavou;Příbram
00261459;Město Krásná Lípa;Děčín
00573256;Město Krásné Údolí;Karlovy Vary
00573167;Město Krásno;Sokolov
00300292;Město Kravaře;Opava
00296139;Město Krnov;Bruntál
00287351;Město Kroměříž;Kroměříž
00266418;Město Krupka;Teplice
00265080;Město Kryry;Louny
00567892;Město Kunovice;Uherské Hradiště
00280470;Město Kunštát;Blansko
00281964;Město Kuřim;Brno - venkov
00236195;Město Kutná Hora;Kutná Hora
00285030;Město Kyjov;Hodonín
00259454;Město Kynšperk nad Ohří;Sokolov
00279102;Město Lanškroun;Ústí nad Orlicí
00283321;Město Lanžhot;Břeclav
00271730;Město Lázně Bělohrad;Jičín
00273350;Město Lázně Bohdaneč;Pardubice
00254029;Město Lázně Kynžvart;Cheb
00267759;Město Ledeč nad Sázavou;Havlíčkův Brod
00266434;Město Ledvice;Teplice
00279129;Město Letohrad;Ústí nad Orlicí
00280518;Město Letovice;Blansko
00271748;Město Libáň;Jičín
00241407;Město Libčice nad Vltavou;Praha - západ
00237019;Město Liběchov;Mělník
00263931;Město Libochovice;Litoměřice
00234630;Město Libušín;Kladno
00267813;Město Lipnice nad Sázavou;Havlíčkův Brod
00301493;Město Lipník nad Bečvou;Přerov
00245178;Město Lišov;České Budějovice
00263958;Město Litoměřice;Litoměřice
00276944;Město Litomyšl;Svitavy
00299138;Město Litovel;Olomouc
00266027;Město Litvínov;Most
00259489;Město Loket;Sokolov
00266035;Město Lom;Most
00247022;Město Lomnice nad Lužnicí;Jindřichův Hradec
00275905;Město Lomnice nad Popelkou;Semily
00302945;Město Loštice;Šumperk
00831123;Město Loučná pod Klínovcem;Chomutov
00265209;Město Louny;Louny
00263991;Město Lovosice;Litoměřice
00254053;Město Luby;Cheb
00262455;Město Lučany nad Nisou;Jablonec nad Nisou
00284165;Město Luhačovice;Zlín
00270440;Město Luže;Chrudim
00239402;Město Lysá nad Labem;Nymburk
00258091;Město Manětín;Plzeň - sever
00254061;Město Mariánské Lázně;Cheb
00262021;Město Mašťov;Chomutov
00255785;Město Měčín;Klatovy
00237051;Město Mělník;Mělník
00239437;Město Městec Králové;Nymburk
00296228;Město Město Albrechtice;Bruntál
00258105;Město Město Touškov;Plzeň - sever
00266086;Město Meziboří;Most
00272841;Město Meziměstí;Náchod
00261581;Město Mikulášovice;Děčín
00283347;Město Mikulov;Břeclav
00271811;Město Miletín;Jičín
00249831;Město Milevsko;Písek
