IČO;Název;Okres
00511714;Obec Cerhonice;Písek
00287121;Obec Cetechovice;Kroměříž
00672114;Obec Cetenov;Liberec
00280071;Obec Cetkovice;Blansko
00247936;Obec Cetoraz;Pelhřimov
00662780;Obec Cetyně;Příbram
60418541;Obec Cidlina;Třebíč
00842141;Obec Cikháj;Žďár nad Sázavou
00236012;Obec Církvice;Kutná Hora
00876208;Obec Církvice;Kolín
00636169;Obec Císařov;Přerov
00259284;Obec Citice;Sokolov
00292591;Obec Citonice;Znojmo
00301116;Obec Citov;Přerov
00236764;Obec Cítov;Mělník
00246409;Obec Cizkrajov;Jindřichův Hradec
00278602;Obec Cotkytle;Ústí nad Orlicí
49463942;Obec Crhov;Blansko
00269913;Obec Ctětín;Chrudim
00473511;Obec Ctiboř;Benešov
00868841;Obec Ctiboř;Tachov
00600245;Obec Ctidružice;Znojmo
00509361;Obec Ctiměřice;Mladá Boleslav
00263443;Obec Ctiněves;Litoměřice
00234231;Obec Cvrčovice;Kladno
00600156;Obec Cvrčovice;Brno - venkov
00267261;Obec Čachotín;Havlíčkův Brod
00237612;Obec Čachovice;Mladá Boleslav
00581216;Obec Čakov;České Budějovice
00231541;Obec Čakov;Benešov
00575992;Obec Čaková;Bruntál
00640115;Obec Čakovičky;Mělník
00485969;Obec Čankovice;Chrudim
00289183;Obec Čáslavice;Třebíč
00247952;Obec Čáslavsko;Pelhřimov
00360392;Obec Částkov;Uherské Hradiště
00573779;Obec Částkov;Tachov
60419466;Obec Častohostice;Třebíč
00247987;Obec Častrov;Pelhřimov
00580503;Obec Časy;Pardubice
00535141;Obec Čavisov;Ostrava - město
00281662;Obec Čebín;Brno - venkov
00236772;Obec Čečelice;Mělník
00475629;Obec Čečelovice;Strakonice
00579815;Obec Čečkovice;Havlíčkův Brod
00572314;Obec Čečovice;Plzeň - jih
00288101;Obec Čehovice;Prostějov
00376779;Obec Čechočovice;Třebíč
00289205;Obec Čechtín;Třebíč
00636177;Obec Čechy;Přerov
00288128;Obec Čechy pod Kosířem;Prostějov
00284815;Obec Čejč;Hodonín
00251054;Obec Čejetice;Strakonice
00498602;Obec Čejkovice;Kutná Hora
00637378;Obec Čejkovice;Znojmo
00284823;Obec Čejkovice;Hodonín
00244724;Obec Čejkovice;České Budějovice
00248002;Obec Čejov;Pelhřimov
00296571;Obec Čeladná;Frýdek - Místek
00288136;Obec Čelčice;Prostějov
00636185;Obec Čelechovice;Přerov
00288144;Obec Čelechovice na Hané;Prostějov
47248971;Obec Čelistná;Pelhřimov
00488437;Obec Čeložnice;Hodonín
00573051;Obec Čeminy;Plzeň - sever
00242055;Obec Čenkov;Příbram
00278611;Obec Čenkovice;Ústí nad Orlicí
00512541;Obec Čenkov u Bechyně;České Budějovice
00273449;Obec Čeperka;Pardubice
00273457;Obec Čepí;Pardubice
00228702;Obec Čepřovice;Strakonice
47786701;Obec Čeradice;Louny
00231584;Obec Čerčany;Benešov
00600253;Obec Čermákovice;Znojmo
00480339;Obec Čermná;Domažlice
00277711;Obec Čermná;Trutnov
00274798;Obec Čermná nad Orlicí;Rychnov nad Kněžnou
00849707;Obec Čermná ve Slezsku;Opava
00545899;Obec Černá;Žďár nad Sázavou
00580601;Obec Černá u Bohdanče;Pardubice
00573205;Obec Černava;Karlovy Vary
00302473;Obec Černá Voda;Jeseník
00245828;Obec Černá v Pošumaví;Český Krumlov
00272558;Obec Černčice;Náchod
00556271;Obec Černčice;Louny
00832561;Obec Černěves;Litoměřice
00235318;Obec Černé Voděrady;Praha - východ
00285722;Obec Černíč;Jihlava
00253286;Obec Černíkov;Klatovy
00274801;Obec Černíkovice;Rychnov nad Kněžnou
00572829;Obec Černíkovice;Plzeň - sever
00640620;Obec Černíky;Kolín
00268674;Obec Černilov;Hradec Králové
00600261;Obec Černín;Znojmo
00236039;Obec Černíny;Kutná Hora
00526100;Obec Černiv;Litoměřice
00241113;Obec Černolice;Praha - západ
00301141;Obec Černotín;Přerov
00526428;Obec Černouček;Litoměřice
00672084;Obec Černousy;Liberec
00512273;Obec Černov;Pelhřimov
00572322;Obec Černovice;Plzeň - jih
00280101;Obec Černovice;Blansko
00261831;Obec Černovice;Chomutov
47733365;Obec Čerňovice;Plzeň - sever
00268682;Obec Černožice;Hradec Králové
00234257;Obec Černuc;Kladno
00599344;Obec Černvír;Brno - venkov
00512559;Obec Černýšovice;Tábor
00486299;Obec Červená Hora;Náchod
00376787;Obec Červená Lhota;Třebíč
00578291;Obec Červená Třemešná;Jičín
00278637;Obec Červená Voda;Ústí nad Orlicí
00236047;Obec Červené Janovice;Kutná Hora
00573469;Obec Červené Poříčí;Klatovy
00635740;Obec Červenka;Olomouc
00476714;Obec Červený Hrádek;Jindřichův Hradec
00234265;Obec Červený Újezd;Praha - západ
00231606;Obec Červený Újezd;Benešov
00281671;Obec Česká;Brno - venkov
00257630;Obec Česká Bříza;Plzeň - sever
00272574;Obec Česká Čermná;Náchod
00253294;Obec Česká Kubice;Domažlice
00272582;Obec Česká Metuje;Náchod
00278645;Obec Česká Rybná;Ústí nad Orlicí
00636037;Obec Česká Ves;Jeseník
00269956;Obec České Lhotice;Chrudim
00278670;Obec České Libchavy;Ústí nad Orlicí
00274810;Obec České Meziříčí;Rychnov nad Kněžnou
00485659;Obec České Petrovice;Ústí nad Orlicí
00265870;Obec Český Jiřetín;Most
00246441;Obec Český Rudolec;Jindřichův Hradec
00274828;Obec Čestice;Rychnov nad Kněžnou
00236055;Obec Čestín;Kutná Hora
00240125;Obec Čestlice;Praha - východ
00271462;Obec Češov;Jičín
00251097;Obec Číčenice;Strakonice
00241130;Obec Číčovice;Praha - západ
00376795;Obec Číhalín;Třebíč
00573477;Obec Číhaň;Klatovy
00267295;Obec Číhošť;Havlíčkův Brod
00480304;Obec Čichalov;Karlovy Vary
00545643;Obec Číchov;Třebíč
00376809;Obec Čikov;Třebíč
00574007;Obec Čilá;Rokycany
00875961;Obec Čilec;Nymburk
00242063;Obec Čím;Příbram
00249599;Obec Čimelice;Písek
00376817;Obec Číměř;Třebíč
00246450;Obec Číměř;Jindřichův Hradec
43313914;Obec Čímice;Klatovy
00239046;Obec Činěves;Nymburk
00241148;Obec Čisovice;Praha - západ
00237621;Obec Čistá;Mladá Boleslav
00243680;Obec Čistá;Rakovník
00276545;Obec Čistá;Svitavy
00275662;Obec Čistá u Horek;Semily
00268691;Obec Čistěves;Hradec Králové
00256528;Obec Čižice;Plzeň - jih
00256536;Obec Čížkov;Plzeň - jih
00511323;Obec Čížkov;Pelhřimov
00263486;Obec Čížkovice;Litoměřice
00581674;Obec Čížkrajice;České Budějovice
42634491;Obec Čížov;Jihlava
00249602;Obec Čížová;Písek
00250384;Obec Čkyně;Prachatice
00246468;Obec Člunek;Jindřichův Hradec
44626754;Obec Čmelíny;Plzeň - jih
00672092;Obec Čtveřín;Liberec
00508519;Obec Čtyřkoly;Benešov
00637521;Obec Čučice;Brno - venkov
00294179;Obec Dalečín;Žďár nad Sázavou
00242071;Obec Daleké Dušníky;Příbram
43256201;Obec Dalešice;Jablonec nad Nisou
00508896;Obec Dalovice;Mladá Boleslav
00573213;Obec Dalovice;Karlovy Vary
00284840;Obec Dambořice;Hodonín
00600270;Obec Damnice;Znojmo
00278696;Obec Damníkov;Ústí nad Orlicí
00599352;Obec Daňkovice;Žďár nad Sázavou
00635456;Obec Darkovice;Opava
00635359;Obec Daskabát;Olomouc
00259292;Obec Dasnice;Sokolov
00581224;Obec Dasný;České Budějovice
00263494;Obec Děčany;Litoměřice
00376825;Obec Dědice;Třebíč
00269964;Obec Dědová;Chrudim
00515949;Obec Dehtáře;Pelhřimov
00635464;Obec Děhylov;Opava
00473502;Obec Děkanovice;Benešov
00639796;Obec Děkov;Rakovník
00573221;Obec Děpoltovice;Karlovy Vary
00579483;Obec Desná;Svitavy
00568520;Obec Dešná;Zlín
00246492;Obec Dešná;Jindřichův Hradec
00289281;Obec Dešov;Třebíč
00532118;Obec Deštná;Blansko
00274844;Obec Deštné v Orlických horách;Rychnov nad Kněžnou
00556289;Obec Deštnice;Louny
00271471;Obec Dětenice;Jičín
00369721;Obec Dětkovice;Vyškov
00600008;Obec Dětkovice;Prostějov
00297445;Obec Dětmarovice;Karviná
00831468;Obec Dětřichov;Liberec
00276561;Obec Dětřichov;Svitavy
00295931;Obec Dětřichov nad Bystřicí;Bruntál
00579491;Obec Dětřichov u Moravské Třebové;Svitavy
00578304;Obec Dílce;Jičín
00572586;Obec Díly;Domažlice
00252166;Obec Dírná;Tábor
00283100;Obec Diváky;Břeclav
00244775;Obec Dívčice;České Budějovice
00576115;Obec Dívčí Hrad;Bruntál
42409764;Obec Dívčí Kopy;Jindřichův Hradec
45978123;Obec Divec;Hradec Králové
00263508;Obec Dlažkovice;Litoměřice
00255408;Obec Dlažov;Klatovy
00373664;Obec Dlouhá Brtnice;Jihlava
00600652;Obec Dlouhá Lhota;Blansko
00512567;Obec Dlouhá Lhota;Tábor
00473804;Obec Dlouhá Lhota;Příbram
00508942;Obec Dlouhá Lhota;Mladá Boleslav
00298794;Obec Dlouhá Loučka;Olomouc
00276588;Obec Dlouhá Loučka;Svitavy
00576069;Obec Dlouhá Stráň;Bruntál
00580902;Obec Dlouhá Třebová;Ústí nad Orlicí
00267309;Obec Dlouhá Ves;Havlíčkův Brod
00255416;Obec Dlouhá Ves;Klatovy
00599361;Obec Dlouhé;Žďár nad Sázavou
00302490;Obec Dlouhomilov;Šumperk
00580899;Obec Dlouhoňovice;Ústí nad Orlicí
00239054;Obec Dlouhopolsko;Nymburk
46744941;Obec Dlouhý Most;Liberec
00573761;Obec Dlouhý Újezd;Tachov
00256544;Obec Dnešice;Plzeň - jih
00600288;Obec Dobelice;Znojmo
00249629;Obec Dobev;Písek
00261246;Obec Dobkovice;Děčín
00296589;Obec Dobrá;Frýdek - Místek
00577057;Obec Dobratice;Frýdek - Místek
00544175;Obec Dobrá Voda;Žďár nad Sázavou
00515787;Obec Dobrá Voda;Pelhřimov
00581232;Obec Dobrá Voda u Českých Budějovic;České Budějovice
00271489;Obec Dobrá Voda u Hořic;Jičín
00511358;Obec Dobrá Voda u Pacova;Pelhřimov
00636193;Obec Dobrčice;Přerov
00274861;Obec Dobré;Rychnov nad Kněžnou
00283118;Obec Dobré Pole;Břeclav
00568538;Obec Dobrkovice;Zlín
00555975;Obec Dobrná;Děčín
00369811;Obec Dobročkovice;Vyškov
00662399;Obec Dobročovice;Praha - východ
00512788;Obec Dobrohošť;Jindřichův Hradec
47922311;Obec Dobrochov;Prostějov
00831786;Obec Dobroměřice;Louny
00288187;Obec Dobromilice;Prostějov
00512575;Obec Dobronice u Bechyně;Tábor
00285749;Obec Dobronín;Jihlava
00849731;Obec Dobroslavice;Opava
00285757;Obec Dobroutov;Jihlava
00498599;Obec Dobrovítov;Kutná Hora
00241164;Obec Dobrovíz;Praha - západ
47730862;Obec Dobršín;Klatovy
00274887;Obec Dobřany;Rychnov nad Kněžnou
00240141;Obec Dobřejovice;Praha - východ
00662186;Obec Dobřeň;Mělník
00268721;Obec Dobřenice;Hradec Králové
00241172;Obec Dobříč;Praha - západ
00257664;Obec Dobříč;Plzeň - sever
00235342;Obec Dobřichov;Kolín
00278718;Obec Dobříkov;Ústí nad Orlicí
00526461;Obec Dobříň;Litoměřice
00600296;Obec Dobřínsko;Znojmo
00258679;Obec Dobřív;Rokycany
45670773;Obec Dobšice;Znojmo
00581241;Obec Dobšice;České Budějovice
00239062;Obec Dobšice;Nymburk
00509299;Obec Dobšín;Mladá Boleslav
00268739;Obec Dohalice;Hradec Králové
00263524;Obec Doksany;Litoměřice
00234273;Obec Doksy;Kladno
46772731;Obec Dolánky nad Ohří;Litoměřice
00257672;Obec Dolany;Plzeň - sever
00273490;Obec Dolany;Pardubice
00255424;Obec Dolany;Klatovy
00298808;Obec Dolany;Olomouc
00663981;Obec Dolany;Kladno
00272612;Obec Dolany;Náchod
00241199;Obec Dolany nad Vltavou;Mělník
00574163;Obec Dolce;Plzeň - jih
00600300;Obec Dolenice;Znojmo
00303747;Obec Dolní Bečva;Vsetín
00257681;Obec Dolní Bělá;Plzeň - sever
00236799;Obec Dolní Beřkovice;Mělník
00483575;Obec Dolní Bezděkov;Chrudim
00284858;Obec Dolní Bojanovice;Hodonín
00277738;Obec Dolní Branná;Trutnov
60153415;Obec Dolní Brusnice;Trutnov
00241202;Obec Dolní Břežany;Praha - západ
00278742;Obec Dolní Dobrouč;Ústí nad Orlicí
00494241;Obec Dolní Domaslavice;Frýdek - Místek
00292699;Obec Dolní Dubňany;Znojmo
00283126;Obec Dolní Dunajovice;Břeclav
00245844;Obec Dolní Dvořiště;Český Krumlov
00277754;Obec Dolní Dvůr;Trutnov
00555924;Obec Dolní Habartice;Děčín
00242101;Obec Dolní Hbity;Příbram
00842443;Obec Dolní Heřmanice;Žďár nad Sázavou
00252191;Obec Dolní Hořice;Tábor
18246028;Obec Dolní Hradiště;Plzeň - sever
00582441;Obec Dolní Hrachovice;Tábor
00235351;Obec Dolní Chvatliny;Kolín
00277762;Obec Dolní Kalná;Trutnov
00231711;Obec Dolní Kralovice;Benešov
00237698;Obec Dolní Krupá;Mladá Boleslav
00267368;Obec Dolní Krupá;Havlíčkův Brod
00277771;Obec Dolní Lánov;Trutnov
44065515;Obec Dolní Lažany;Třebíč
00535133;Obec Dolní Lhota;Ostrava - město
00283878;Obec Dolní Lhota;Zlín
00599379;Obec Dolní Libochová;Žďár nad Sázavou
00578312;Obec Dolní Lochov;Jičín
00535966;Obec Dolní Lomná;Frýdek - Místek
00294241;Obec Dolní Loučky;Brno - venkov
00256561;Obec Dolní Lukavice;Plzeň - jih
00297461;Obec Dolní Lutyně;Karviná
00267376;Obec Dolní Město;Havlíčkův Brod
00580911;Obec Dolní Morava;Ústí nad Orlicí
00295957;Obec Dolní Moravice;Bruntál
00290904;Obec Dolní Němčí;Uherské Hradiště
00636207;Obec Dolní Nětčice;Přerov
00259306;Obec Dolní Nivy;Sokolov
00512036;Obec Dolní Novosedly;Písek
00580171;Obec Dolní Olešnice;Trutnov
00512940;Obec Dolní Pěna;Jindřichův Hradec
00261271;Obec Dolní Podluží;Děčín
00640328;Obec Dolní Pohleď;Kutná Hora
00268747;Obec Dolní Přím;Hradec Králové
00272621;Obec Dolní Radechová;Náchod
00273503;Obec Dolní Roveň;Pardubice
00294233;Obec Dolní Rožínka;Žďár nad Sázavou
00573132;Obec Dolní Rychnov;Sokolov
00262757;Obec Dolní Řasnice;Liberec
00273511;Obec Dolní Ředice;Pardubice
00237701;Obec Dolní Slivno;Mladá Boleslav
00579823;Obec Dolní Sokolovec;Havlíčkův Brod
00509337;Obec Dolní Stakory;Mladá Boleslav
00635936;Obec Dolní Studénky;Šumperk
00636215;Obec Dolní Těšice;Přerov
00576875;Obec Dolní Tošanovice;Frýdek - Místek
00245852;Obec Dolní Třebonín;Český Krumlov
00636223;Obec Dolní Újezd;Přerov
00276596;Obec Dolní Újezd;Svitavy
00283134;Obec Dolní Věstonice;Břeclav
00289302;Obec Dolní Vilémovice;Třebíč
00373656;Obec Dolní Vilímeč;Jihlava
00266710;Obec Dolní Zálezly;Ústí nad Labem
00662305;Obec Dolní Zimoř;Mělník
00253910;Obec Dolní Žandov;Cheb
00512958;Obec Dolní Žďár;Jindřichův Hradec
00635570;Obec Dolní Životice;Opava
00288195;Obec Doloplazy;Prostějov
00534927;Obec Doloplazy;Olomouc
00289311;Obec Domamil;Třebíč
00512966;Obec Domanín;Jindřichův Hradec
00284866;Obec Domanín;Hodonín
00473707;Obec Dománovice;Kolín
00261840;Obec Domašín;Chomutov
00281719;Obec Domašov;Brno - venkov
00298824;Obec Domašov nad Bystřicí;Olomouc
00635286;Obec Domašov u Šternberka;Olomouc
00845132;Obec Domaželice;Přerov
43313922;Obec Domoraz;Klatovy
00237728;Obec Domousnice;Mladá Boleslav
00264903;Obec Domoušice;Louny
00476722;Obec Doňov;Jindřichův Hradec
00640255;Obec Doubek;Praha - východ
47274212;Obec Doubice;Děčín
00562424;Obec Doubrava;Karviná
00235369;Obec Doubravčice;Kolín
00581259;Obec Doubravice;České Budějovice
00580759;Obec Doubravice;Trutnov
00251101;Obec Doubravice;Strakonice
00509388;Obec Doubravička;Mladá Boleslav
00283886;Obec Doubravy;Zlín
00244813;Obec Doudleby;České Budějovice
42634695;Obec Doupě;Jihlava
04498691;Obec Doupovské Hradiště;Karlovy Vary
00298841;Obec Drahanovice;Olomouc
00233200;Obec Drahelčice;Praha - západ
00662798;Obec Drahenice;Příbram
00574171;Obec Drahkov;Plzeň - jih
00242128;Obec Drahlín;Příbram
00508446;Obec Drahňovice;Benešov
00665096;Obec Drahobudice;Kolín
00526053;Obec Drahobuz;Litoměřice
00251135;Obec Drahonice;Strakonice
00375331;Obec Drahonín;Brno - venkov
47695943;Obec Drahoňův Újezd;Rokycany
00581267;Obec Drahotěšice;České Budějovice
00572284;Obec Drahotín;Domažlice
47016035;Obec Drahouš;Rakovník
00512583;Obec Drahov;Tábor
46684450;Obec Drachkov;Strakonice
00252221;Obec Dráchov;Tábor
00242136;Obec Drásov;Příbram
18246036;Obec Dražeň;Plzeň - sever
00253332;Obec Draženov;Domažlice
00252239;Obec Dražice;Tábor
00249637;Obec Dražíč;České Budějovice
00512591;Obec Dražičky;Tábor
00251143;Obec Drážov;Strakonice
00573451;Obec Dražovice;Klatovy
00291722;Obec Dražovice;Vyškov
00488429;Obec Dražůvky;Hodonín
00242152;Obec Drevníky;Příbram
00512605;Obec Drhovice;Tábor
00249645;Obec Drhovle;Písek
00242161;Obec Drhovy;Příbram
00253928;Obec Drmoul;Cheb
00663972;Obec Drnek;Kladno
00280151;Obec Drnovice;Blansko
00557889;Obec Drnovice;Zlín
00291731;Obec Drnovice;Vyškov
00640204;Obec Drobovice;Kutná Hora
46684468;Obec Droužetice;Strakonice
00261858;Obec Droužkovice;Chomutov
00233218;Obec Drozdov;Beroun
00853151;Obec Drozdov;Šumperk
00360597;Obec Drslavice;Uherské Hradiště
00583006;Obec Drslavice;Prachatice
00179591;Obec Druhanov;Havlíčkův Brod
00666912;Obec Drunče;Jindřichův Hradec
00257729;Obec Druztová;Plzeň - sever
00234320;Obec Družec;Kladno
00372030;Obec Drysice;Vyškov
00262315;Obec Držkov;Jablonec nad Nisou
00568546;Obec Držková;Zlín
75082144;Obec Držovice;Prostějov
00485063;Obec Dřenice;Chrudim
00251160;Obec Dřešín;Strakonice
00234338;Obec Dřetovice;Kladno
00240176;Obec Dřevčice;Praha - východ
00578321;Obec Dřevěnice;Jičín
00547905;Obec Dřevnovice;Prostějov
00236802;Obec Dřínov;Mělník
00287156;Obec Dřínov;Kroměříž
00234346;Obec Dřínov;Kladno
00236811;Obec Dřísy;Praha - východ
00273546;Obec Dříteč;Pardubice
00244830;Obec Dříteň;České Budějovice
00580457;Obec Dubany;Pardubice
00576221;Obec Dubčany;Olomouc
00662801;Obec Dubenec;Příbram
00277801;Obec Dubenec;Trutnov
00302538;Obec Dubicko;Šumperk
00581275;Obec Dubičné;České Budějovice
00242195;Obec Dublovice;Příbram
00244856;Obec Dubné;České Budějovice
00525707;Obec Dubnice;Česká Lípa
00662810;Obec Dubno;Příbram
49056620;Obec Dubovice;Pelhřimov
00488623;Obec Dudín;Jihlava
00289329;Obec Dukovany;Třebíč
47248998;Obec Důl;Pelhřimov
00512974;Obec Dunajovice;Jindřichův Hradec
00473499;Obec Dunice;Benešov
00285811;Obec Dušejov;Jihlava
00263583;Obec Dušníky;Litoměřice
00484466;Obec Dvakačovice;Chrudim
00295973;Obec Dvorce;Bruntál
00373672;Obec Dvorce;Jihlava
00239071;Obec Dvory;Nymburk
00583014;Obec Dvory;Prachatice
00477001;Obec Dvory nad Lužnicí;Jindřichův Hradec
00600318;Obec Dyjákovičky;Znojmo
00600326;Obec Dyje;Znojmo
42634679;Obec Dyjice;Jihlava
00239089;Obec Dymokury;Nymburk
00244864;Obec Dynín;České Budějovice
00257745;Obec Dýšina;Plzeň - město
47922575;Obec Dzbel;Prostějov
00600334;Obec Džbánice;Znojmo
00580961;Obec Džbánov;Ústí nad Orlicí
00258695;Obec Ejpovice;Rokycany
00259811;Obec Erpužice;Tachov
00511366;Obec Eš;Pelhřimov
00526118;Obec Evaň;Litoměřice
00233226;Obec Felbabka;Beroun
00512982;Obec Frahelž;Jindřichův Hradec
00303755;Obec Francova Lhota;Vsetín
00555941;Obec Františkov nad Ploučnicí;Děčín
00296635;Obec Fryčovice;Frýdek - Místek
00262323;Obec Frýdštejn;Jablonec nad Nisou
43313949;Obec Frymburk;Klatovy
00294284;Obec Fryšava pod Žákovou horou;Žďár nad Sázavou
00637386;Obec Grešlové Mýto;Znojmo
00194611;Obec Gruna;Svitavy
00876224;Obec Grunta;Kolín
00298875;Obec Grygov;Olomouc
00636231;Obec Grymov;Přerov
00262790;Obec Habartice;Liberec
00832201;Obec Habrovany;Ústí nad Labem
00291757;Obec Habrovany;Vyškov
00637220;Obec Habrůvka;Blansko
00581283;Obec Habří;České Budějovice
00268755;Obec Habřina;Hradec Králové
00600016;Obec Hačky;Prostějov
00666394;Obec Hadravova Rosička;Jindřichův Hradec
00637688;Obec Hajany;Brno - venkov
60829257;Obec Hajany;Strakonice
00662828;Obec Háje;Příbram
00573230;Obec Hájek;Karlovy Vary
46684476;Obec Hájek;Strakonice
00275689;Obec Háje nad Jizerou;Semily
00277827;Obec Hajnice;Trutnov
00266302;Obec Háj u Duchcova;Teplice
00300021;Obec Háj ve Slezsku;Opava
00666386;Obec Halámky;Jindřichův Hradec
00303763;Obec Halenkov;Vsetín
00283932;Obec Halenkovice;Zlín
00837288;Obec Haluzice;Zlín
00259829;Obec Halže;Tachov
00666378;Obec Hamr;Jindřichův Hradec
00673498;Obec Hamr na Jezeře;Česká Lípa
43313809;Obec Hamry;Klatovy
00270032;Obec Hamry;Chrudim
00543870;Obec Hamry nad Sázavou;Žďár nad Sázavou
00635723;Obec Haňovice;Olomouc
00579505;Obec Hartinkov;Svitavy
00581291;Obec Hartmanice;České Budějovice
00276634;Obec Hartmanice;Svitavy
00289337;Obec Hartvíkovice;Třebíč
00512613;Obec Haškovcova Lhota;Tábor
00635511;Obec Hať;Opava
00246646;Obec Hatín;Jindřichův Hradec
00277835;Obec Havlovice;Trutnov
00265918;Obec Havraň;Most
00600342;Obec Havraníky;Znojmo
00253952;Obec Hazlov;Cheb
00573485;Obec Hejná;Klatovy
00278831;Obec Hejnice;Ústí nad Orlicí
00653594;Obec Hejtmánkovice;Náchod
00580929;Obec Helvíkovice;Ústí nad Orlicí
00267457;Obec Herálec;Havlíčkův Brod
00294306;Obec Herálec;Žďár nad Sázavou
00640140;Obec Herink;Praha - východ
00362841;Obec Heroltice;Brno - venkov
00542458;Obec Heršpice;Vyškov
00249653;Obec Heřmaň;Písek
00581305;Obec Heřmaň;České Budějovice
00477010;Obec Heřmaneč;Jindřichův Hradec
00272647;Obec Heřmanice;Náchod
00672068;Obec Heřmanice;Liberec
00579831;Obec Heřmanice;Havlíčkův Brod
00600750;Obec Heřmanice u Oder;Nový Jičín
00231771;Obec Heřmaničky;Benešov
00653616;Obec Heřmánkovice;Náchod
00600768;Obec Heřmánky;Nový Jičín
00599387;Obec Heřmanov;Žďár nad Sázavou
00261327;Obec Heřmanov;Děčín
00257753;Obec Heřmanova Huť;Plzeň - sever
00295981;Obec Heřmanovice;Bruntál
00292761;Obec Hevlín;Znojmo
00848468;Obec Hladké Životice;Nový Jičín
00373681;Obec Hladov;Jihlava
00582492;Obec Hlasivo;Tábor
00233234;Obec Hlásná Třebaň;Beroun
00635294;Obec Hlásnice;Olomouc
00581313;Obec Hlavatce;České Budějovice
00252263;Obec Hlavatce;Tábor
00273554;Obec Hlavečník;Pardubice
00474177;Obec Hlavenec;Praha - východ
00672050;Obec Hlavice;Liberec
00635596;Obec Hlavnice;Opava
00255483;Obec Hlavňovice;Klatovy
00488135;Obec Hlína;Brno - venkov
00572934;Obec Hlince;Plzeň - sever
00581321;Obec Hlincová Hora;České Budějovice
00576107;Obec Hlinka;Bruntál
00526142;Obec Hlinná;Litoměřice
00636240;Obec Hlinsko;Přerov
00640336;Obec Hlízov;Kutná Hora
00478547;Obec Hlohová;Domažlice
00572403;Obec Hlohovčice;Domažlice
00283151;Obec Hlohovec;Břeclav
00258709;Obec Hlohovice;Rokycany
00372072;Obec Hlubočany;Vyškov
00635430;Obec Hlubočec;Opava
00298891;Obec Hlubočky;Olomouc
00654639;Obec Hluboká;Chrudim
00376841;Obec Hluboké;Třebíč
00637734;Obec Hluboké Dvory;Brno - venkov
00292770;Obec Hluboké Mašůvky;Znojmo
00242225;Obec Hluboš;Příbram
00662836;Obec Hlubyně;Příbram
00288241;Obec Hluchov;Prostějov
00477125;Obec Hlupín;Strakonice
00268763;Obec Hlušice;Hradec Králové
00635677;Obec Hlušovice;Olomouc
00573493;Obec Hnačov;Klatovy
00600351;Obec Hnanice;Znojmo
00278874;Obec Hnátnice;Ústí nad Orlicí
00268771;Obec Hněvčeves;Hradec Králové
00267473;Obec Hněvkovice;Havlíčkův Brod
47733454;Obec Hněvnice;Plzeň - sever
00300071;Obec Hněvošice;Opava
00298913;Obec Hněvotín;Olomouc
00298921;Obec Hnojice;Olomouc
00296678;Obec Hnojník;Frýdek - Místek
00663948;Obec Hobšovice;Kladno
00291773;Obec Hodějice;Vyškov
00512630;Obec Hodětín;Tábor
00285862;Obec Hodice;Jihlava
00560031;Obec Hodíškov;Žďár nad Sázavou
00292788;Obec Hodonice;Znojmo
00512621;Obec Hodonice;Tábor
00637271;Obec Hodonín;Blansko
00654736;Obec Hodonín;Chrudim
00376850;Obec Hodov;Třebíč
00297917;Obec Hodslavice;Nový Jičín
00248151;Obec Hojanovice;Pelhřimov
00373699;Obec Hojkov;Jihlava
00583430;Obec Hojovice;Pelhřimov
00488143;Obec Holasice;Brno - venkov
00300080;Obec Holasovice;Opava
00295990;Obec Holčovice;Bruntál
00556297;Obec Holedeč;Louny
00275727;Obec Holenice;Semily
00270105;Obec Holetín;Chrudim
00271543;Obec Holín;Jičín
00653446;Obec Holohlavy;Hradec Králové
00580651;Obec Holotín;Pardubice
00258717;Obec Holoubkov;Rokycany
00572942;Obec Holovousy;Plzeň - sever
00271551;Obec Holovousy;Jičín
00600598;Obec Holštejn;Blansko
00542423;Obec Holubice;Vyškov
00241211;Obec Holubice;Praha - západ
00245879;Obec Holubov;Český Krumlov
00244902;Obec Homole;České Budějovice
00555495;Obec Homole u Panny;Ústí nad Labem
00270113;Obec Honbice;Chrudim
47930276;Obec Honětice;Kroměříž
00574031;Obec Honezovice;Plzeň - jih
00261866;Obec Hora Svatého Šebestiána;Chomutov
00572217;Obec Hora Svatého Václava;Domažlice
00662844;Obec Horčápsko;Příbram
00270121;Obec Horka;Chrudim
00640344;Obec Horka I;Kutná Hora
00236071;Obec Horka II;Kutná Hora
00298948;Obec Horka nad Moravou;Olomouc
00854671;Obec Horka u Staré Paky;Semily
00640191;Obec Horky;Kutná Hora
00579513;Obec Horky;Svitavy
00237795;Obec Horky nad Jizerou;Mladá Boleslav
00303771;Obec Horní Bečva;Vsetín
00257761;Obec Horní Bělá;Plzeň - sever
00263621;Obec Horní Beřkovice;Litoměřice
00234362;Obec Horní Bezděkov;Kladno
00296686;Obec Horní Bludovice;Karviná
00283169;Obec Horní Bojanovice;Břeclav
00270130;Obec Horní Bradlo;Chrudim
00275735;Obec Horní Branná;Semily
00581038;Obec Horní Brusnice;Trutnov
00600369;Obec Horní Břečkov;Znojmo
00237817;Obec Horní Bukovina;Mladá Boleslav
00377252;Obec Hornice;Třebíč
00278882;Obec Horní Čermná;Ústí nad Orlicí
00536008;Obec Horní Domaslavice;Frýdek - Místek
